Ring;Nimi;Aeg;Sektor1;Sektor2;Sektor3;Viga
1;Lewis;70.98599999999999;24.456;23.448;23.082;False
2;Lewis;77.164;23.989;26.956;26.219;False
3;Lewis;73.224;23.649;25.1;24.475;False
4;Lewis;73.29599999999999;23.046;25.811;24.439;False
5;Lewis;78.11500000000001;26.251;25.303;26.561;False
6;Lewis;73.262;25.566;23.49;24.206;False
7;Lewis;74.47200000000001;23.652;26.595;24.225;False
8;Lewis;72.637;24.333;24.531;23.773;False
9;Lewis;76.017;26.032;25.903;24.082;False
10;Lewis;72.77199999999999;24.002;23.014;25.756;False
1;Valtteri;73.315;25.001;23.281;25.033;False
2;Valtteri;77.426;24.917;26.175;26.334;False
3;Valtteri;73.65100000000001;24.659;23.895;25.097;False
4;Valtteri;74.149;26.336;24.136;23.677;False
5;Valtteri;72.958;24.678;23.823;24.457;False
6;Valtteri;74.23;23.585;26.913;23.732;False
7;Valtteri;75.34100000000001;24.185;26.638;24.518;False
8;Valtteri;71.832;23.144;23.352;25.336;False
9;Valtteri;74.884;25.002;26.26;23.622;False
10;Valtteri;75.791;25.693;26.161;23.937;False
1;Max;74.426;26.046;25.186;23.194;False
2;Max;74.842;24.989;24.08;25.773;False
3;Max;73.606;23.079;26.808;23.719;False
4;Max;75.722;25.496;26.794;23.432;False
5;Max;74.40299999999999;25.592;25.407;23.404;False
6;Max;153.70999999999998;75.237;41.657;36.816;True
7;Max;76.77799999999999;26.698;23.473;26.607;False
8;Max;74.27099999999999;26.089;24.657;23.525;False
9;Max;73.402;24.101;25.325;23.976;False
10;Max;74.895;26.419;23.593;24.883;False
1;Charles;75.16799999999999;26.232;23.612;25.324;False
2;Charles;74.39;23.44;25.002;25.948;False
3;Charles;71.497;23.293;24.018;24.186;False
4;Charles;75.251;24.155;26.269;24.826999999999998;False
5;Charles;72.53999999999999;24.887;24.062;23.591;False
6;Charles;74.839;25.453;26.278;23.108;False
7;Charles;77.328;26.598;24.024;26.706;False
8;Charles;187.726;57.546;90.438;39.742;True
9;Charles;77.99000000000001;25.642;26.638;25.71;False
10;Charles;77.094;25.837;24.457;26.8;False
1;Lando;76.595;25.703;24.204;26.688;False
2;Lando;74.054;26.102;23.002;24.95;False
3;Lando;75.431;25.759;23.823;25.849;False
4;Lando;74.119;25.674;24.009;24.436;False
5;Lando;79.179;26.107;26.463;26.609;False
6;Lando;76.03;24.249;25.339;26.442;False
7;Lando;73.46600000000001;24.497;25.602;23.367;False
8;Lando;74.172;26.326;24.318;23.528;False
9;Lando;79.85300000000001;26.603;26.651;26.599;False
10;Lando;72.544;23.962;23.319;25.263;False
